"","condo_name","district","age"
"1503","MIDTOWN RESIDENCES","19",1
"1504","MILFORD VILLAS","13",9
"1505","MILL CREEK","14",6
"1506","MILLPOINT","10",14
"1507","MIMOSA GARDENS","28",13
"1508","MIMOSA PARK","28",39
"1509","MIMOSA TERRACE","28",18
"1510","MIMOSA VILLAS","28",31
"1511","MIN YUAN APARTMENT","07",NA
"1512","MINBU COURT","11",NA
"1513","MINBU VILLA","11",NA
"1514","MING TECK PARK","10",NA
"1515","MINT RESIDENCES @ JANSEN","19",10
"1516","MINTON COURT","19",NA
"1517","MIRAGE TOWER","09",21
"1518","MIRO","11",6
"1519","MISTRAL PARK","16",23
"1520","MODA","15",5
"1521","MODENA","18",16
"1522","MON JERVOIS","10",1
"1523","MONARCHY APARTMENTS","12",20
"1524","MONK'S HILL APARTMENTS","09",NA
"1525","MONT TIMAH","21",7
"1526","MONTCLAIR @ WHITLEY","11",6
"1527","MONTEBLEU","11",8
"1528","MONTEREY PARK","05",12
"1529","MONTROSA","23",19
"1530","MONTROSE TERRACE","11",NA
"1531","MONTVIEW","10",10
"1532","MONVILLE MANSION","12",NA
"1533","MOONSTONE APARTMENTS","12",NA
"1534","MOONSTONE RESIDENCES","12",13
"1535","MOONSTONE ROYALE","12",15
"1536","MOONSTONE VIEW","12",18
"1537","MORIMASA GARDENS","11",25
"1538","MORO MANSIONS","14",NA
"1539","MOSELLA","13",5
"1540","MOULMEIN COURT","11",37
"1541","MOULMEIN STUDIOS","11",NA
"1542","MOUNT ECHO PARK","10",NA
"1543","MOUNT FABER LODGE","04",35
"1544","MOUNT ROSIE GARDEN","11",35
"1545","MOUNT SINAI","10",NA
"1546","MOUNT SINAI RESIDENCES","10",7
"1547","MOUNT SOPHIA SUITES","09",8
"1548","MOUNTBATTEN LODGE","15",18
"1549","MOUNTBATTEN REGENCY","15",11
"1550","MOUNTBATTEN SUITES","15",6
"1551","MUGLISTON HILL","28",NA
"1552","MULBERRY TREE","11",7
"1553","MUN WAH GARDEN","26",NA
"1554","MURANO","05",9
"1555","MUTIARA CREST","10",18
"1556","MUTIARA VIEW","10",18
"1557","MY MANHATTAN","18",4
"1558","NADIA MANSIONS","12",33
"1559","NAMLY COURT","10",NA
"1560","NAMLY PARK","10",NA
"1561","NANAK MANSIONS","15",NA
"1562","NANYANG PARK","19",NA
"1563","NARULA VILLA","15",NA
"1564","NASSIM GARDENS","10",NA
"1565","NASSIM JADE","10",19
"1566","NASSIM MANSION","10",41
"1567","NASSIM PARK RESIDENCES","10",7
"1568","NASSIM REGENCY","10",40
"1569","NASSIM VILLE","10",NA
"1570","NASSIM WOODS","10",20
"1571","NATHAN PLACE","10",12
"1572","NATHAN RESIDENCES","10",6
"1573","NATHAN SUITES","10",4
"1574","NATURA @ HILLVIEW","23",2
"1575","NATURALIS","15",7
"1576","NATURE MANSIONS","15",15
"1577","NAUNG RESIDENCE","19",3
"1578","NEEM TREE","12",-2
"1579","NEPAL PARK","05",NA
"1580","NEPTUNE COURT","15",43
"1581","NESS","14",3
"1582","NEW COURT","12",17
"1583","NEWEST","05",1
"1584","NEWTON 18","11",14
"1585","NEWTON EDGE","09",7
"1586","NEWTON EURO-ASIA","11",15
"1587","NEWTON GEMS","11",14
"1588","NEWTON GREEN","11",NA
"1589","NEWTON IMPERIAL","11",7
"1590","NEWTON LODGE","11",NA
"1591","NEWTON MANSION","11",NA
"1592","NEWTON ONE","11",9
"1593","NEWTON SUITES","11",11
"1594","NICOLE GREEN","15",15
"1595","NICON GARDENS","23",19
"1596","NIM GARDENS","28",32
"1597","NIN RESIDENCE","13",4
"1598","NINE RESIDENCES","27",1
"1599","NINETEEN SHELFORD ROAD","11",21
"1600","NIVEN LOFT","09",14
"1601","NIVEN SUITES","09",9
"1602","NOMU","09",10
"1603","NORMANTON ESTATE","05",NA
"1604","NORMANTON PARK","05",41
"1605","NORTH PARK RESIDENCES","27",-2
"1606","NORTH POINT COTTAGES","19",NA
"1607","NORTHOAKS","25",17
"1608","NORTHSHORE BUNGALOWS","19",23
"1609","NORTHVALE","23",20
"1610","NORTHWOOD CONDOMINIUM","25",8
"1611","NOTTINGHILL SUITES","21",2
"1612","NOUVEL 18","10",4
"1613","NOUVELLE PARK","19",24
"1614","NOVA 48","12",6
"1615","NOVA 88","12",6
"1616","NOVELIS @ NOVENA","11",10
"1617","NOVENA COURT","11",NA
"1618","NOVENA GARDENS","11",NA
"1619","NOVENA HILL","11",NA
"1620","NOVENA LODGE","11",20
"1621","NOVENA REGENCY","11",1
"1622","NOVENA SUITES","11",14
"1623","NUOVO","20",14
"1624","NV RESIDENCES","18",5
"1625","OASIS @ ELIAS","18",6
"1626","OASIS @ MULBERRY","13",12
"1627","OASIS GARDEN","19",9
"1628","OCEAN 8","04",8
"1629","OCEAN FRONT SUITES","17",2
"1630","OCEAN PARK","15",35
"1631","OEI TIONG HAM PARK","10",NA
"1632","OEI TIONG HAM PARK RESIDENCES","10",6
"1633","OKIO RESIDENCES","12",3
"1634","OLA RESIDENCES @ MOUNTBATTEN","15",6
"1635","OLEANAS RESIDENCE","09",19
"1636","OLEANDER TOWERS","12",20
"1637","OLINA LODGE","10",28
"1638","ONAN COURT","15",NA
"1639","ONAN SUITES","15",5
"1640","ONE @ PULASAN","15",9
"1641","ONE AKYAB","11",NA
"1642","ONE AMBER","15",8
"1643","ONE BALMORAL","10",1
"1644","ONE CHATSWORTH","10",42
"1645","ONE CHILTERN","13",12
"1646","ONE DEVONSHIRE","09",6
"1647","ONE DUCHESS","10",0
"1648","ONE DUSUN RESIDENCES","12",1
"1649","ONE EIGHTIES RESIDENCES","15",3
"1650","ONE FORT","15",13
"1651","ONE JERVOIS","10",9
"1652","ONE K GREEN LANE","15",13
"1653","ONE LEICESTER","13",9
"1654","ONE LYNWOOD","13",10
"1655","ONE MOUNT ROSIE","11",10
"1656","ONE NORTH RESIDENCES","05",9
"1657","ONE OXLEY RISE","09",10
"1658","ONE ROBEY","19",2
"1659","ONE ROBIN","10",9
"1660","ONE ROSYTH","19",7
"1661","ONE SHENTON","01",8
"1662","ONE ST MICHAEL'S","12",NA
"1663","ONE SURIN","19",1
"1664","ONE TREE HILL GARDENS","10",NA
"1665","ONE TREE HILL MANSIONS","10",NA
"1666","ONE TREE HILL RESIDENCE","10",10
"1667","ONG'S MANSION","16",NA
"1668","ONZE @ TANJONG PAGAR","02",0
"1669","OPAL SUITES","12",4
"1670","OPERA ESTATE","16",NA
"1671","OPTIMA @ TANAH MERAH","16",6
"1672","ORANGE GROVE RESIDENCES","10",9
"1673","ORANGE REGENCY","10",21
"1674","ORCHARD BEL-AIR","10",34
"1675","ORCHARD BOULEVARD PARK","09",NA
"1676","ORCHARD COURT","09",NA
"1677","ORCHARD GRAND COURT","09",NA
"1678","ORCHARD PARKSUITES","09",22
"1679","ORCHARD SCOTTS","09",11
"1680","ORCHARD SCOTTS RESIDENCES","09",11
"1681","ORCHARD TOWERS","09",NA
"1682","ORCHARD VIEW","09",6
"1683","ORCHID APARTMENTS","11",37
"1684","ORCHID PARK CONDO","27",24
"1685","ORCHID VILLAGE","11",NA
"1686","ORION","10",10
"1687","OVADA 8","15",16
"1688","OXFORD SUITES","08",7
"1689","OXLEY EDGE","09",2
"1690","OXLEY GARDEN","09",32
"1691","OXLEY MANSION","09",NA
"1692","PACIFIC MANSION","09",42
"1693","PADDY GREEN","14",NA
"1694","PALAZZETTO","15",15
"1695","PALISADES","05",33
"1696","PALM GALLERIA","15",8
"1697","PALM GARDENS","23",18
"1698","PALM GREEN","05",19
"1699","PALM GROVE CONDO","19",16
"1700","PALM GROVE REGENCY","19",10
"1701","PALM GROVE TERRACE","19",20
"1702","PALM HAVEN","19",15
"1703","PALM ISLES","17",3
"1704","PALM LODGE","14",26
"1705","PALM LOFT","15",9
"1706","PALM MANSIONS","05",20
"1707","PALM OASIS","15",9
"1708","PALM RESIDENCE","21",13
"1709","PALM SPRING","10",20
"1710","PALM TREE NINES","16",25
"1711","PALM VIEW ROW","05",NA
"1712","PALM VISTA","15",8
"1713","PALMERA EAST","14",6
"1714","PALMERA RESIDENCE","15",7
"1715","PALMS @ SIXTH AVENUE","10",3
"1716","PALMVILLE TERRACE","15",NA
"1717","PALMWOODS","16",19
"1718","PANDAN VALLEY","21",39
"1719","PAPILLON","12",14
"1720","PARADISE ISLAND","04",9
"1721","PARADISE PALMS","15",15
"1722","PARBURY HILL","16",20
"1723","PARC ASTON","13",7
"1724","PARC BLEU","15",5
"1725","PARC CENTENNIAL","09",7
"1726","PARC CENTROS","19",2
"1727","PARC ELEGANCE","15",5
"1728","PARC EMILY","09",10
"1729","PARC HAVEN","12",13
"1730","PARC IMPERIAL","05",8
"1731","PARC MACKENZIE","09",9
"1732","PARC MONDRIAN","13",8
"1733","PARC OASIS","22",23
"1734","PARC OLYMPIA","17",3
"1735","PARC PALAIS","21",18
"1736","PARC REGENCY","05",16
"1737","PARC ROSEWOOD","25",2
"1738","PARC SEABREEZE","15",6
"1739","PARC SOMME","08",6
"1740","PARC SOPHIA","09",5
"1741","PARC STEVENS","10",18
"1742","PARC VERA","19",3
"1743","PARC VISTA","22",18
"1744","PARK AVENUE RESIDENCES","09",NA
"1745","PARK AVENUE SUITE","09",NA
"1746","PARK COURT","15",22
"1747","PARK EAST","15",24
"1748","PARK GREEN","19",13
"1749","PARK HOUSE","09",NA
"1750","PARK INFINIA @ WEE NAM","11",10
"1751","PARK NATURA","23",7
"1752","PARK RESIDENCES KOVAN","19",5
"1753","PARK VILLAS","19",20
"1754","PARK WEST","05",32
"1755","PARKROYAL RESIDENCES","07",NA
"1756","PARKSHORE","15",23
"1757","PARKVIEW","23",20
"1758","PARKVIEW ECLAT","09",8
"1759","PARKVIEW MANSIONS","22",NA
"1760","PARKWAY APARTMENTS","15",NA
"1761","PARKWAY MANSION","15",36
"1762","PARKWAY VIEW","15",26
"1763","PARRY COURT","07",13
"1764","PARRY GREEN","19",19
"1765","PARRY PARK","19",27
"1766","PARRYVILLE","19",28
"1767","PARVIS","10",6
"1768","PASADENA","11",15
"1769","PASIR PANJANG APARTMENTS","05",NA
"1770","PASIR PANJANG COURT","05",NA
"1771","PASIR PANJANG GARDENS","05",33
"1772","PASIR PANJANG LODGE","05",23
"1773","PASIR PANJANG VILLAGE","05",NA
"1774","PASIR RIS BEACH PARK","05",NA
"1775","PASIR VIEW PARK","05",24
"1776","PASTORAL VIEW","11",32
"1777","PATENT PLACE","21",NA
"1778","PATERSON LINC","10",8
"1779","PATERSON RESIDENCE","09",10
"1780","PATERSON SUITES","09",8
"1781","PAVILION 11 AT NOVENA","11",9
"1782","PAVILION PARK","23",15
"1783","PAVILION SQUARE","14",2
"1784","PAYA LEBAR GARDENS","19",NA
"1785","PAYA LEBAR RESIDENCES","14",15
"1786","PEACE MANSION","09",42
"1787","PEACH GARDEN","15",NA
"1788","PEAK COURT CONDO","11",35
"1789","PEAKVIEW ESTATE","16",NA
"1790","PEAKVILLE MANSION","16",NA
"1791","PEARL BANK APARTMENTS","03",44
"1792","PEARL ISLAND","04",5
"1793","PEARL'S CENTRE","01",NA
"1794","PEBBLE BAY","15",21
"1795","PEIRCE VALE","26",NA
"1796","PEIRCE VIEW","20",22
"1797","PEIRCE VILLAS","10",21
"1798","PELIKAT MANSIONS","19",NA
"1799","PENG'S COURT","15",NA
"1800","PEONY MANSION","07",NA
"1801","PEOPLE'S GARDEN","19",NA
"1802","PEOPLE'S PARK CENTRE","01",44
"1803","PEOPLE'S PARK COMPLEX","01",48
"1804","PEPPERMINT GROVE","11",21
"1805","PEPYS HILL CONDO","05",30
"1806","PETAIN COURT","08",24
"1807","PHILLIPS RESIDENCE","19",10
"1808","PHOENIX HEIGHT ESTATE","23",NA
"1809","PHOENIX HEIGHTS","23",NA
"1810","PICARDY GARDENS","16",NA
"1811","PIN MANSIONS","19",NA
"1812","PINE COURT","15",NA
"1813","PINE GROVE","21",34
"1814","PINE SPRINGS","10",20
"1815","PINE VILLAS","25",NA
"1816","PINEHURST CONDO","15",25
"1817","PINETREE CONDO","10",22
"1818","PINEVALE","18",18
"1819","PINEWOOD GARDENS","10",28
"1820","PINEWOOD TERRACE","25",20
"1821","PINNACLE 16","12",12
"1822","PLATINA GARDENS","27",NA
"1823","PLATINUM EDGE","13",11
"1824","PLEASANT HILL LODGE","05",NA
"1825","POETS VILLAS","26",3
"1826","POH HENG COURT","15",29
"1827","POH HUAT GARDENS","19",29
"1828","POINT LOMA","11",34
"1829","POLLEN & BLEU","10",0
"1830","POMEX COURT","15",NA
"1831","POPULAR ESTATE","23",NA
"1832","PORTOFINO","10",NA
"1833","POSHGROVE EAST","15",10
"1834","PRESIDENT GARDENS","26",NA
"1835","PRESIDIO","15",9
"1836","PRESTIGE HEIGHTS","12",5
"1837","PRESTIGE LOFT","15",8
"1838","PRESTIGE POINT","19",0
"1839","PRESTIGE RESIDENCE","15",10
"1840","PRIME RESIDENCE","14",4
"1841","PRIMEDGE","14",1
"1842","PRIMO RESIDENCES","19",5
"1843","PRINCE GEORGE'S PARK RESIDENCES","05",NA
"1844","PRINCETON VALE","19",17
"1845","PRINCIPAL GARDEN","10",-1
"1846","PRISTINE HEIGHTS","08",10
"1847","PRIVE","19",1
"1848","PROSPER GARDENS","16",NA
"1849","PROSPERO VILLE","15",17
"1850","PROXIMO ROBINA","10",13
"1851","PUBLIC MANSION","12",NA
"1852","PURMEI COURT","04",NA
"1853","Q BAY RESIDENCES","18",1
"1854","QUBE SUITES","14",1
"1855","QUEEN ASTRID GARDENS","10",NA
"1856","QUEEN ASTRID PARK","10",NA
"1857","QUEENS","03",16
"1858","QUEENS PEAK","03",-2
"1859","QUEENSBERRY LODGE","10",15
"1860","QUEENSWAY TOWER","03",NA
"1861","QUEMOY PARK","19",NA
"1862","QUESTA @ DUNMAN","15",5
"1863","QUINTERRA","10",9
"1864","R MAISON","13",2
"1865","R66 APARTMENTS","08",11
"1866","RACE COURSE 138","08",14
"1867","RACE COURSE MANSION","08",13
"1868","RADIANCE @ BUKIT TIMAH","21",8
"1869","RADIX","14",11
"1870","RAFFLES PARK","11",NA
"1871","RAFFLESIA CONDO","20",16
"1872","RAINBOW MANSION","10",NA
"1873","RAINTREE VALLEY","26",27
"1874","RAJAH TOWER","12",34
"1875","RAMBAI COURT","15",NA
"1876","RANGOON 88","08",4
"1877","RANGOON APARTMENTS","08",21
"1878","RANGOON COURT","08",15
"1879","RANGOON VIEW","08",NA
"1880","RAYA GARDEN","19",NA
"1881","REBECCA PARK","10",NA
"1882","REFLECTIONS AT KEPPEL BAY","04",7
"1883","REGAL 35","14",14
"1884","REGAL COURT","12",21
"1885","REGAL VILLE","14",NA
"1886","REGENCY HOUSE","09",NA
"1887","REGENCY LODGE","10",20
"1888","REGENCY PARK","10",28
"1889","REGENCY SUITES","03",10
"1890","REGENT GROVE","23",18
"1891","REGENT HEIGHTS","23",18
"1892","REGENT PARK","05",20
"1893","REGENT RESIDENCES","12",2
"1894","REGENT VILLA","10",25
"1895","REGENTVILLE","19",18
"1896","REGINA HILL","21",NA
"1897","REGIS MANSIONS","21",21
"1898","REIGNWOOD HAMILTON SCOTTS","09",6
"1899","RESERVOIR VILLAS","14",20
"1900","RESIDENCE 118","15",12
"1901","RESIDENCE 66","15",10
"1902","RESIDENCE 8","10",17
"1903","RESIDENCES 88","14",5
"1904","RESIDENCES @ EVELYN","11",11
"1905","RESIDENCES @ HUA GUAN","11",10
"1906","RESIDENCES @ JANSEN","19",10
"1907","RESIDENCES @ KILLINEY","09",5
"1908","RESIDENCES @ LIMAU","16",11
"1909","RESIDENCES @ SOMME","08",10
"1910","RESIDENCES @ STANGEE","15",8
"1911","RESIDENCES AT 338A","09",14
"1912","RESIDENCES AT EMERALD HILL","09",6
"1913","RESIDENCES BOTANIQUE","19",6
"1914","RESIDENCY AT MOUNT SOPHIA","09",22
"1915","REZI 26","14",3
"1916","REZI 3TWO","14",1
"1917","RHAPSODY ON MOUNT ELIZABETH","09",8
"1918","RIA APTS","05",6
"1919","RIA TOWNHOUSES","16",9
"1920","RICCHEZZA","15",9
"1921","RICH EAST GARDEN","16",35
"1922","RICH MANSION","10",24
"1923","RICHARDS MANSION","19",NA
"1924","RICHARDS PARK","19",NA
"1925","RICHMOND PARK","09",22
"1926","RICHMOND VILLE","16",NA
"1927","RIDGE COURT","13",15
"1928","RIDGEVALE GARDENS","21",NA
"1929","RIDGEWOOD CONDO","10",41
"1930","RINDU TERRACE","19",23
"1931","RIO CASA","19",NA
"1932","RIO GARDENS","12",12
"1933","RIO VISTA","19",14
"1934","RIPPLE BAY","18",3
"1935","RIS GRANDEUR","18",12
"1936","RISING SUITES","10",20
"1937","RITZ @ FARRER","08",2
"1938","RITZ MANSIONS","12",23
"1939","RITZ REGENCY","15",8
"1940","RIVA LODGE","09",23
"1941","RIVAGE","15",9
"1942","RIVER ISLES","19",2
"1943","RIVER PLACE","03",18
"1944","RIVER VALLEY APARTMENTS","10",NA
"1945","RIVER VALLEY COURT","10",23
"1946","RIVERBANK @ FERNVALE","28",0
"1947","RIVERBAY","13",3
"1948","RIVERDALE RESIDENCE","10",15
"1949","RIVEREDGE","16",10
"1950","RIVERGATE","09",9
"1951","RIVERIA GARDENS","09",8
"1952","RIVERIA POINT","09",25
"1953","RIVERPARC RESIDENCE","19",4
"1954","RIVERSAILS","19",1
"1955","RIVERSHIRE","09",27
"1956","RIVERSIDE 48","09",17
"1957","RIVERSIDE MELODIES","12",4
"1958","RIVERSIDE POINT","01",25
"1959","RIVERSIDE VIEW","09",NA
"1960","RIVERSOUND RESIDENCE","19",3
"1961","RIVERTREES RESIDENCES","19",0
"1962","RIVERVALE CREST","19",15
"1963","RIVERWALK APARTMENTS","01",28
"1964","RIVIERA 38","12",3
"1965","RIVIERA RESIDENCES","16",10
"1966","RIZ HAVEN","17",8
"1967","ROBERTSON 100","09",14
"1968","ROBERTSON BLUE","09",12
"1969","ROBERTSON EDGE","09",10
"1970","ROBIN COURT","10",30
"1971","ROBIN REGALIA","10",18
"1972","ROBIN RESIDENCES","10",2
"1973","ROBIN STAR","10",NA
"1974","ROBIN SUITES","10",3
"1975","ROBINSON SUITES","01",4
"1976","ROCCA BALESTIER","12",13
"1977","ROCHELLE AT NEWTON","11",6
"1978","ROMAN TERRACE","15",NA
"1979","ROSALIA PARK","19",23
"1980","ROSE COURT","15",NA
"1981","ROSE LANE COURT","15",NA
"1982","ROSE MAISON","15",NA
"1983","ROSE MEADOWS","21",NA
"1984","ROSE VILLE","15",17
"1985","ROSEDALE","21",NA
"1986","ROSEVALE","11",15
"1987","ROSEWOOD","25",15
"1988","ROSEWOOD SUITES","25",6
"1989","ROSYTH LODGE","19",NA
"1990","ROSYTH RESIDENCE","19",11
"1991","ROSYTH VILLE","19",11
"1992","ROXY SQUARE","15",NA
"1993","ROYAL COURT","21",20
"1994","ROYAL PALM MANSIONS","05",NA
"1995","ROYALE MANSIONS","15",26
"1996","ROYALVILLE","10",30
"1997","ROYCE RESIDENCES","14",5
"1998","RV EDGE","10",5
"1999","RV POINT","09",4
"2000","RV RESIDENCES","10",3
"2001","RV SUITES","10",6
"2002","SAGE","10",6
"2003","SALLIM LODGE","14",NA
"2004","SAM KIANG MANSIONS","09",NA
"2005","SAM LEONG MANSION","08",NA
"2006","SANCTUARY @ 813","19",7
"2007","SANCTUARY GREEN","15",14
"2008","SANDALWOOD","15",NA
"2009","SANDERIANA","15",NA
"2010","SANDILANDS RESIDENCES","19",16
"2011","SANDY ISLAND","04",5
"2012","SANDY PALM","17",16
"2013","SANFORD PARK","19",27
"2014","SANNY PARK","11",NA
"2015","SANT RITZ","13",1
"2016","SANTA FE MANSIONS","15",20
"2017","SAPPHIRE 99","09",12
"2018","SAPPHIRE COURT","15",NA
"2019","SARACA GARDENS","28",25
"2020","SARACA VILLAS","28",16
"2021","SARHAD VILLE","05",24
"2022","SARKIES GARDENS","10",21
"2023","SARKIES GREEN","10",3
"2024","SARKIES MANSION","10",NA
"2025","SAVANNAH CONDOPARK","18",13
"2026","SAVOY PARK","21",22
"2027","SAYANG VILLA","15",NA
"2028","SCENIC HEIGHTS","12",13
"2029","SCOTTS 28","09",19
"2030","SCOTTS HIGHPARK","09",9
"2031","SCOTTS SQUARE","09",8
"2032","SCOTTS TOWER","09",NA
"2033","SEA AVENUE MANSIONS","15",20
"2034","SEA AVENUE RESIDENCES","15",12
"2035","SEA ESTA","18",3
"2036","SEA HORIZON","18",2
"2037","SEA VIEW PARK","15",NA
"2038","SEAHILL","05",2
"2039","SEASCAPE","04",8
"2040","SEASIDE PARK","15",18
"2041","SEASONS PARK","26",21
"2042","SEASONS VIEW","20",18
"2043","SEASTRAND","18",4
"2044","SEASUITES","05",3
"2045","SEAVIEW POINT","15",24
"2046","SECOND AVENUE JUNCTION","10",21
"2047","SELANTING GREEN","21",20
"2048","SELEGIE CENTRE","08",NA
"2049","SELETAR GARDEN","28",NA
"2050","SELETAR HILL ESTATE","28",NA
"2051","SELETAR PARK","28",32
"2052","SELETAR PARK RESIDENCE","28",3
"2053","SELETAR SPRINGS CONDO","28",17
"2054","SELETAR VIEW","28",5
"2055","SELETARIS","27",17
"2056","SEMBAWANG COTTAGE","27",20
"2057","SEMBAWANG GARDENS ARCADE","27",NA
"2058","SEMBAWANG HILL ESTATE","20",NA
"2059","SEMBAWANG PARK","27",NA
"2060","SEMBAWANG SPRINGS ESTATE","27",NA
"2061","SENG YONG VILLAS","14",NA
"2062","SENNETT ESTATE","13",NA
"2063","SENNETT RESIDENCE","13",1
"2064","SENTOSA COVE","04",10
"2065","SERAN COURT","13",NA
"2066","SERANGOON GARDENS ESTATE","19",NA
"2067","SERAYA 9","15",9
"2068","SERAYA BREEZE","15",17
"2069","SERAYA COURT","15",NA
"2070","SERAYA LODGE","15",NA
"2071","SERAYA VILLE","15",26
"2072","SERENADE GARDENS","15",30
"2073","SERENE CENTRE","10",NA
"2074","SERENE HOUSE","10",NA
"2075","SERENE PARK","28",NA
"2076","SERENE VIEW MANSIONS","13",NA
"2077","SERENITY BREEZE","15",1
"2078","SERENITY PARK","28",23
"2079","SERENITY TERRACE","14",NA
"2080","SERIALVILLE APARTMENTS","19",NA
"2081","SETIA RESIDENCES","11",14
"2082","SEVEN CRESCENT","15",4
"2083","SEVEN HOLT ROAD","10",18
"2084","SEVEN NASSIM","10",NA
"2085","SEVEN OAKS","10",20
"2086","SEVEN PALMS SENTOSA COVE","04",5
"2087","SEVENTY SAINT PATRICK'S","15",1
"2088","SHAMROCK PARK","10",NA
"2089","SHAMROCK VILLAS","10",4
"2090","SHAN COURT","12",NA
"2091","SHAN GATE APARTMENT","12",NA
"2092","SHANGHAI ONE","10",11
"2093","SHANGRI-LA APARTMENTS","10",NA
"2094","SHANGRI-LA PARK","20",NA
"2095","SHANGRI-LA RESIDENCES","10",NA
"2096","SHAW CORNER","12",NA
"2097","SHEARES VILLE APARTMENTS","10",14
"2098","SHEBA LODGE","15",16
"2099","SHELFORD 23","11",6
"2100","SHELFORD GREEN","11",35
"2101","SHELFORD MANSIONS","11",30
"2102","SHELFORD REGENCY","11",20
"2103","SHELFORD SUITES","11",7
"2104","SHELFORD VIEW","11",33
"2105","SHEPHERD'S HILL ESTATE","03",NA
"2106","SHERIDIAN COURT","15",NA
"2107","SHERWOOD CONDO","21",20
"2108","SHERWOOD TOWERS","21",38
"2109","SHIRO","15",3
"2110","SHUNFU VILLE","20",NA
"2111","SIEW LIM PARK","16",NA
"2112","SIGLAP CENTRE","15",NA
"2113","SIGLAP COURT","15",NA
"2114","SIGLAP HILL 33","15",9
"2115","SIGLAP LODGE","15",NA
"2116","SIGLAP PARK","15",NA
"2117","SIGLAP V","15",6
"2118","SIGNATURE @ LEWIS","10",7
"2119","SIGNATURE AT YISHUN","27",0
"2120","SIGNATURE CREST","15",NA
"2121","SIGNATURE PARK","21",20
"2122","SIGNATURE RESIDENCE","15",10
"2123","SILAHIS APARTMENTS","15",NA
"2124","SILVER HILL","19",30
"2125","SILVERSCAPE","14",3
"2126","SILVERSEA","15",4
"2127","SIMEI GREEN","18",19
"2128","SIMON PLAZA","19",NA
"2129","SIMS DORADO","14",10
"2130","SIMS EDGE","14",2
"2131","SIMS GREEN","14",14
"2132","SIMS MEADOWS","14",16
"2133","SIMS POINT","14",NA
"2134","SIMS RESIDENCES","14",15
"2135","SIMS URBAN OASIS","14",-2
"2136","SIMSVILLE","14",20
"2137","SIN CHUAN GARDEN","14",NA
"2138","SIN MING CENTRE","20",NA
"2139","SIN MING PLAZA","20",22
"2140","SINGA COURT","14",NA
"2141","SINGA HILLS","14",0
"2142","SIXTH AVENUE CENTRE","10",33
"2143","SIXTH AVENUE VILLE","10",19
"2144","SKIES MILTONIA","27",2
"2145","SKT MANSIONS","14",25
"2146","SKY @ ELEVEN","11",8
"2147","SKY GREEN","13",2
"2148","SKY HABITAT","20",3
"2149","SKY VUE","20",1
"2150","SKYLINE 360 @ ST THOMAS WALK","09",5
"2151","SKYLINE @ ORCHARD BOULEVARD","09",3
"2152","SKYLINE RESIDENCES","04",3
"2153","SKYPARK @ SOMERSET","09",9
"2154","SKYPARK RESIDENCES","27",1
"2155","SKYSUITES 17","12",4
"2156","SKYSUITES @ ANSON","02",3
"2157","SMAILING COURT","14",NA
"2158","SMART SUITES","14",2
"2159","SOHO 188","08",10
"2160","SOHO @ FARRER","08",12
"2161","SOL ACRES","23",0
"2162","SOLARIS RESIDENCES","19",7
"2163","SOLEIL @ SINARAN","11",7
"2164","SOMERSET GRAND CAIRNHILL","09",NA
"2165","SOMERSET ORCHARD RESIDENCES","09",NA
"2166","SOMMERVILLE GRANDEUR","10",22
"2167","SOMMERVILLE LOFT","13",15
"2168","SOMMERVILLE PARK","10",40
"2169","SOMMERVILLE REGENCY","13",11
"2170","SOMMERVILLE RESIDENCES","13",5
"2171","SONG LANG GREEN","15",NA
"2172","SOO CHOW GARDEN","20",NA
"2173","SOPHIA 88","09",17
"2174","SOPHIA 98","09",16
"2175","SOPHIA CREST","09",NA
"2176","SOPHIA HILLS","09",1
"2177","SOPHIA LODGE","09",12
"2178","SOPHIA MANSION","09",26
"2179","SOPHIA RESIDENCE","09",4
"2180","SOPHIA SERVICE APARTMENT","09",NA
"2181","SOPHIA VIEW","09",NA
"2182","SOPHIA VILLE","09",NA
"2183","SOUTH UNION PARK","15",NA
"2184","SOUTHAVEN I","21",21
"2185","SOUTHAVEN II","21",19
"2186","SOUTHBANK","07",9
"2187","SOVEREIGN @ SIMON","19",9
"2188","SPA BUILDING","08",32
"2189","SPACE @ KOVAN","19",4
"2190","SPANISH VILLAGE","10",31
"2191","SPAZIO @ KOVAN","19",0
"2192","SPOTTISWOODE 18","02",3
"2193","SPOTTISWOODE PARK","02",NA
"2194","SPOTTISWOODE RESIDENCES","02",4
"2195","SPOTTISWOODE SUITES","02",1
"2196","SPRING @ KATONG","15",12
"2197","SPRING @ LANGSAT","15",5
"2198","SPRING COURT","12",NA
"2199","SPRING GARDENS","15",18
"2200","SPRING GROVE","10",22
"2201","SPRING MANSION","12",NA
"2202","SPRINGBROOK TERRACE","17",20
"2203","SPRINGDALE","21",18
"2204","SPRINGDEW TERRACE","05",24
"2205","SPRINGHILL","27",10
"2206","SPRINGHILL TERRACE","28",NA
"2207","SPRINGLEAF GARDEN","26",NA
"2208","SPRINGLEAF VILLAS","26",13
"2209","SPRINGVALE","15",22
"2210","SPRINGWELL MANSIONS","16",NA
"2211","SPRINGWOOD","05",27
"2212","ST ANNE'S WOOD","19",22
"2213","ST FRANCIS COURT","12",24
"2214","ST FRANCIS LODGE","12",20
"2215","ST MARTIN RESIDENCE","10",17
"2216","ST MARTIN'S APARTMENTS","10",32
