name,type,rent,date
TEMPCO TECHNOMINIUM,NA,3.2,18
SHOP SPACE FOR RENT!,NA,32.56,18
ORCHARD SCOTTS,Condo,4.81,18
ORANGE REGENCY,Condo,3.72,18
GRANGE 70,Condo,3.03,18
CAVENAGH LODGE,Condo,2.57,18
CABANA,NA,1.61,18
CHANCERY GROVE,NA,2.49,18
ALANA,Condo,1.86,18
TONG ENG BUILDING,NA,5.5,18
ARDMORE 3,Condo,5.47,18
CLIVEDEN AT GRANGE,Condo,4.18,18
HDB @ CHOA CHU KANG,NA,1.67,18
DUO RESIDENCES,Condo,6.15,18
HIGH FLOOR 653 HOUGANG AVE 8,NA,1.93,18
SHANGHAI ONE,Condo,3.38,18
 KELANTAN LANE,NA,4.5,18
BENCOOLEN,NA,4.57,18
HAW PAW VILLA,NA,4.5,18
ORCHARD ROAD,NA,5.43,18
GLENDALE PARK,Condo,2.27,18
MILL POINT,Condo,5.69,18
PATERSON RESIDENCE,NA,3.97,18
JURONG WEST SHOPHOUSE,NA,7.1,18
MONTROSA,Condo,2.17,18
SHANGHAI ONE,Condo,3.38,18
 KELANTAN LANE,NA,4.5,18
BENCOOLEN,NA,4.57,18
HAW PAW VILLA,NA,4.5,18
ORCHARD ROAD,NA,5.43,18
GLENDALE PARK,Condo,2.27,18
MILL POINT,Condo,5.69,18
PATERSON RESIDENCE,NA,3.97,18
JURONG WEST SHOPHOUSE,NA,7.1,18
MONTROSA,Condo,2.17,18
DOVER PARKVIEW,Condo,3.31,18
THE PARC CONDOMINIUM,Condo,2.92,18
SUNGEI KADUT WAREHOUSE,NA,1,18
SPANISH VILLAGE,Condo,2.63,18
THE PIER @ ROBERTSON,Condo,5.05,18
RICHFIELD INDUSTRIAL CENTRE,NA,1.9,18
EUNOS TECHPARK 2,NA,2.1,18
ENTERPRISE ONE,NA,2.4,18
NEPTUNE COURT,Condo,1.68,18
FLORAVIEW,Condo,5.5,18
MARINA ONE RESIDENCES,Condo,5.22,18
NORDCOM ONE,NA,1.6,18
NORDCOM ONE,NA,1.8,18
PEPYS HILL CONDOMINIUM,Condo,2.44,18
SEMI-DETACHED HOUSE ON DUNEARN ROAD,NA,2.38,18
SEMI-DETACHED ON BARKER ROAD,NA,3.24,18
SEMI-DETACHED ON ONE TREE HILL,NA,4.06,18
VANDA ROAD,NA,1.97,18
THOMSON PLAZA,NA,19,18
HANA,Condo,8.5,18
MARINA ONE RESIDENCES,Condo,5.22,18
NORDCOM ONE,NA,1.6,18
NORDCOM ONE,NA,1.8,18
PEPYS HILL CONDOMINIUM,Condo,2.44,18
SEMI-DETACHED HOUSE ON DUNEARN ROAD,NA,2.38,18
SEMI-DETACHED ON BARKER ROAD,NA,3.24,18
SEMI-DETACHED ON ONE TREE HILL,NA,4.06,18
VANDA ROAD,NA,1.97,18
THOMSON PLAZA,NA,19,18
HANA,Condo,8.5,18
SOPHIA HILLS,Condo,6.14,18
SELETARIS CONDOMINIUM,Condo,1.62,18
ILLUMINARE ON DEVONSHIRE,Condo,6.8,18
BEDOK SOUTH  SHOPHOUSE FOR RENT,NA,4.21,18
DUKU ROAD,NA,1.94,18
KOVAN MELODY,Condo,2.73,18
MARNE ROAD,NA,10.87,18
MARINA ONE RESIDENCES,Condo,5.43,18
DUO RESIDENCES,Condo,5.63,18
LIBERTE,Condo,5.11,18
THE SYNERGY,NA,4.2,18
THE STRATEGY,NA,4.2,18
CLEMENTI WEST LOGISPARK,NA,1.65,18
THE CHUAN,Condo,4.11,18
PATERSON RESIDENCE,NA,3.97,18
COSTA DEL SOL,Condo,2.83,18
NORDCOM TWO,NA,1.8,18
NORDCOM TWO,NA,1.5,18
NORDCOM TWO,NA,2,18
NORDCOM TWO,NA,1.5,18
THE SYNERGY,NA,4.2,18
THE STRATEGY,NA,4.2,18
CLEMENTI WEST LOGISPARK,NA,1.65,18
THE CHUAN,Condo,4.11,18
PATERSON RESIDENCE,NA,3.97,18
COSTA DEL SOL,Condo,2.83,18
NORDCOM TWO,NA,1.8,18
NORDCOM TWO,NA,1.5,18
NORDCOM TWO,NA,2,18
NORDCOM TWO,NA,1.5,18
NORDCOM TWO,NA,1.8,18
NORDCOM TWO,NA,2.2,18
51 TUAS VIEW LINK,NA,1.4,18
MOUNT PLEASANT ROAD BUNGALOW,NA,3.51,18
51 TUAS VIEW LINK,NA,1.4,18
BELMONT PARK BUNGALOW,NA,3.59,18
FLYNN PARK,Condo,2.38,18
ENTERPRISE LOGISTICS CENTRE,NA,1.3,18
ENTERPRISE LOGISTICS CENTRE,NA,1.3,18
TRILIGHT,Condo,4.69,18
HILFORD CONDO @ JURONG KECHIL,NA,6.17,18
AMBER POINT,Condo,2.47,18
MAPLEWOODS,Condo,2.76,18
SEASUITES,Condo,2.82,18
CRADELS,Condo,5.18,18
MUTIARA CREST,NA,2.92,18
M21,Condo,3.77,18
BLUE HORIZON,Condo,3.27,18
ONE OXLEY RISE,Condo,4.1,18
ONE OXLEY RISE,Condo,4.45,18
HILFORD CONDO @ JURONG KECHIL,NA,6.17,18
AMBER POINT,Condo,2.47,18
MAPLEWOODS,Condo,2.76,18
SEASUITES,Condo,2.82,18
CRADELS,Condo,5.18,18
MUTIARA CREST,NA,2.92,18
M21,Condo,3.77,18
BLUE HORIZON,Condo,3.27,18
ONE OXLEY RISE,Condo,4.1,18
ONE OXLEY RISE,Condo,4.45,18
ONE OXLEY RISE,Condo,4.22,18
ONE OXLEY RISE,Condo,5.21,18
ONE OXLEY RISE,Condo,4.37,18
ONE OXLEY RISE,Condo,4.15,18
ONE OXLEY RISE,Condo,4.16,18
CHUAN PARK,Condo,1.77,18
EON SHENTON,Condo,5.81,18
★TRE RESIDENCES 3BR 2 MINS TO...,Condo,4.18,18
THE INDEX,NA,1.1,18
THE INDEX,NA,0.8,18
SUNTEC CITY MALL,NA,10.93,18
ST REGIS RESIDENCES,Condo,6.37,18
ASIMONT @ BARKER,Condo,3.64,18
NASSIM JADE,Condo,5.21,18
7 CLAYMORE,NA,4,18
7 CLAYMORE,Condo,3.45,18
THE BENCOOLEN,Condo,4.04,18
THE BENCOOLEN,Condo,4.88,18
CLIVEDEN AT GRANGE,Condo,4.59,18
THE CATHAY RESIDENCES,Condo,5.38,18
SUNTEC CITY MALL,NA,10.93,18
ST REGIS RESIDENCES,Condo,6.37,18
