condo_name,top_year,km_mrt
CRYSTAL HEIGHTS,2010,
CRYSTAL RHU,2000,0.81 - MOUNTBATTEN
CRYSTAL TOWER,1982,0.59 - STEVENS
CUBE 8,2013,0.91 - TOA PAYOH
CUBIK,2011,
CUSCADEN RESIDENCES,2002,0.61 - ORCHARD
CUSCADEN ROYALE,2010,0.3 - ORCHARD
CYAN,2014,0.53 - STEVENS
D'ALMIRA,2012,
D'BANYAN,2005,0.83 - SEMBAWANG
D'CAMBRIDGE,2006,0.66 - FARRER PARK
D'CASITA,2011,
D'CASTILIA,2013,
D'CHATEAU @ SHELFORD,2012,
D'DALVEY,2005,0.5 - STEVENS
D'ECOSIA,2003,1.68 - KEMBANGAN
D'ELIAS,2005,
D'EVELYN,2008,0.53 - NEWTON
D'FRESCO,2008,
D'GALLERY,2006,
D'GROVE VILLAS,1992,0.76 - ORCHARD
D'HERITAGE APARTMENT,2003,
D'HIRO @ HILLSIDE,2015,
D'IXORAS,2013,
D'LEEDON,2014,
D'LOTUS,2007,
D'MANOR,2001,0.33 - TANAH MERAH
D'MIRA,2013,
D'NEST,2017,
D'OASIA,2010,
D'PAVILION,2011,
D'SUNRISE,2006,
D'WEAVE,2015,
D'ZIRE,2014,
D-MANSIONS,1999,
DAHLIA PARK,2004,1.22 - TAMPINES EAST
DAIRY FARM ESTATE,1989,0.39 - HILLVIEW
DAISY LODGE,1986,
DAISY PETALS,2008,
DAISY SUITES,2016,
DAISY TERRACE,1991,
DAKOTA RESIDENCES,2010,0.4 - DAKOTA
DALLA VALE,2009,2.13 - KHATIB
DALVEY COURT,1976,0.44 - STEVENS
DARBY PARK EXECUTIVE SUITES,1999,
DAWN VILLE,1998,
DE CENTURION,2009,
DE LENTE,2004,0.7 - HOLLAND VILLAGE
DE ROYALE,2006,0.59 - TOA PAYOH
DEDAP GARDENS,1991,
DELIGHT COURT,1994,
DENG FU VILLE,2007,
DENGFU VILLE,2007,
DERBY COURT,1979,
DERBYSHIRE HEIGHTS,2004,
DEVONSHIRE 12,2015,
DEVONSHIRE 8,2017,
DEVONSHIRE RESIDENCES,2014,
DLV,2005,0.52 - STEVENS
DOMAIN 21,2007,0.64 - TIONG BAHRU
DOMUS,2012,0.7 - NOVENA
DORMER PARK,1993,0.79 - REDHILL
DORSETT RESIDENCES,2013,0.1 - OUTRAM PARK
DOUBLE BAY RESIDENCES,2012,0.38 - SIMEI
DOVER PARKVIEW,1997,0.65 - BUONA VISTA
DRAYCOTT 8,2006,0.71 - NEWTON
DUCHESS CREST,1999,0.5 - TAN KAH KEE
DUCHESS MANOR,2006,0.15 - TAN KAH KEE
DUCHESS RESIDENCES,2011,0.75 - TAN KAH KEE
DUCHESS ROYALE,2012,
DUET,2005,0.82 - FARRER ROAD
DUKES RESIDENCES,2012,
DUKU APARTMENTS,2000,
DUNEARN GARDENS,1992,
DUNEARN LODGE,1999,
DUNEARN SUITES,2012,
DUNMAN GROVE,1992,
DUNMAN PLACE,2001,0.69 - DAKOTA
DUNMAN REGENCY,2018,
DUNMAN VIEW,2004,0.85 - DAKOTA
DUNSFOLD 18,2009,0.45 - LORONG CHUAN
DUNSFOLD RESIDENCES,2011,
DUO RESIDENCES,2017,0.24 - BUGIS
DYNASTY GARDEN II,1982,
E MAISON,2016,
E7 LODGE,1991,
EAST COAST HILL,1977,
EAST COAST RESIDENCES,2010,
EAST ELEGANCE,2007,
EAST GALLERIA,2012,1.62 - EUNOS
EAST MEADOWS,2001,0.31 - TANAH MERAH
EAST MEWS,2007,
EAST PALM,2004,1.18 - BEDOK
EAST SHINE,2004,
EAST SIGNATURE,2006,
EAST TREASURE,2004,
EAST VIEW,1999,
EAST VILLAGE,2014,
EAST VILLE,1966,0.78 - EUNOS
EASTBAY,2011,
EASTCOVE RESIDENCES,2004,
EASTERN LAGOON I,1985,1.23 - BEDOK
EASTERN LAGOON II,1985,1.19 - BEDOK
EASTERN RESIDENCE,2007,
EASTPOINT GREEN,1998,0.46 - SIMEI
EASTREES,2016,
EASTSIDE LOFT,2003,0.52 - DAKOTA
EASTVALE,1998,
EASTWOOD CENTRE,1998,
EASTWOOD GREEN CONDO,1998,
EASTWOOD GREEN TERRACE,1998,
EASTWOOD PARK,1997,
EASTWOOD REGENCY,2013,
EASTWOOD VALE,1997,
EASTWOOD VILLE,1995,
EBONY MANSIONS,1995,
ECHELON,2016,
ECO,2017,
ECO SANCTUARY,2016,
ECOPOLITAN,2016,
ECOVILLE,2008,
EDELWEISS PARK,2006,1.56 - TAMPINES EAST
EDEN CREST,2005,
EDEN VIEW,2006,
EDENZ LOFT,2015,
EDENZ SUITES,2014,
EIGHT @ EAST COAST,2009,
EIGHT COURTYARDS,2015,
EIGHT RIVERSUITES,2016,
EIS RESIDENCES,2013,
EL CENTRO,2004,0.47 - TANJONG PAGAR
