condo_name,top_year,km_mrt
TREESCAPE,2016,
TRELLIS TOWERS,2000,0.48 - TOA PAYOH
TRENDALE TOWER,1984,
TRESALVEO,2012,
TREVISTA,2011,
TREVOSE 12,2002,0.37 - STEVENS
TREVOSE PARK,1991,0.46 - STEVENS
TRIBECA BY THE WATERFRONT,2010,0.99 - TIONG BAHRU
TRILIGHT,2012,0.33 - NEWTON
TRILIVE,2018,
TROPICAL SPRING,2003,0.29 - SIMEI
TROPICANA CONDO,1994,
TROPICS @ HAIGSVILLE,2009,
TROPIKA EAST,2016,
TUDOR TEN,1999,
TULIP GARDEN,1985,0.67 - FARRER ROAD
TURQUOISE,2010,2.97 - HARBOURFRONT
TWIN FOUNTAINS,2016,
TWIN HEIGHTS,2000,0.97 - TOA PAYOH
TWIN PEAKS,2014,0.53 - SOMERSET
TWIN REGENCY,2007,0.28 - TIONG BAHRU
TWIN WATERFALLS,2015,
TWO8ONE STUDIO,6,
TYRWHITT 139,2008,
UBER 388,2015,
UE SQUARE,1997,0.24 - FORT CANNING
UNIVERSITY PARK,1997,
UP @ ROBERTSON QUAY,2016,
URBAN HERITAGE,2015,
URBAN LOFTS,2011,
URBAN RESIDENCES,2014,
URBAN RESORT CONDOMINIUM,2014,
URBAN SUITES,2013,0.39 - SOMERSET
URBAN VILLAS,2016,
URBAN VISTA,2016,
URBANA,2007,0.55 - SOMERSET
URBANEDGE @ HOLLAND V,2007,0.17 - HOLLAND VILLAGE
V ON SHENTON,2017,0.41 - DOWNTOWN
VA RESIDENCES,2016,
VACANZA @ EAST,2014,
VALLEY MANSION,1970,0.48 - SOMERSET
VALLEY PARK,1997,0.85 - TIONG BAHRU
VANADIUM,2007,
VARSITY PARK,2007,1.93 - KENT RIDGE
VENEZIO,2007,1.43 - TANAH MERAH
VENTUNO BALMORAL,2009,
VENTURA HEIGHTS,2011,
VENTURA VIEW,2010,
VERANDA,2004,
VERDANA VILLAS,2013,1.01 - LORONG CHUAN
VERDURE,2012,0.9 - FARRER ROAD
VERSAILLES,1994,
VERSILIA ON HAIG,2010,
VERTIS,2008,
VETRO,2010,
VIBES @ EAST COAST,2015,1.29 - KEMBANGAN
VIBES @ KOVAN,2015,
VIBES @ UPPER SERANGOON,2016,
VICENTA LODGE,1993,
VICTORY 8,2014,
VICTORY HEIGHTS,1997,1.08 - NOVENA
VIDA,2009,0.42 - NEWTON
VIENTO,2015,
VIIO @ BALESTIER,2017,
VILLA AZURA,1999,0.44 - SIXTH AVENUE
VILLA BEGONIA,1998,
VILLA CHANCERITA,1992,0.93 - NOVENA
VILLA D'ESTE,1985,0.43 - STEVENS
VILLA DE WEST,1995,1.38 - HAW PAR VILLA
VILLA DELLE ROSE,1982,0.79 - FARRER ROAD
VILLA DES FLORES,1985,
VILLA MARINA,1999,1.39 - BEDOK
VILLA MARTIA,2000,
VILLA VERDE,2000,
VILLAGE @ PASIR PANJANG,2016,
VILLAGE TOWER,1983,0.4 - DOVER
VILLAS @ GILSTEAD,2010,
VILLAS AT KEW,1997,
VILLAS HOLLAND,2004,
VILLAS LAGUNA,1993,1.43 - BEDOK
VILLE ROYALE,1993,
VINA LODGE,2002,
VISIONCREST RESIDENCE,2007,0.29 - DHOBY GHAUT
VISTA PARK,1985,0.72 - PASIR PANJANG
VISTA RESIDENCES,2013,0.73 - TOA PAYOH
VITRA,2009,
VIVA,2012,0.45 - NOVENA
VIVA VISTA,2015,
VIVACE,2012,0.41 - FORT CANNING
VIZ @ HOLLAND,2008,0.82 - COMMONWEALTH
VOGX,2010,
VOLARI,2012,0.66 - NEWTON
VUE 8 RESIDENCE,2017,
WANDERVALE,2019,
WATER PLACE,2005,0.75 - STADIUM
WATER TERRACE,2008,
WATER VILLAS,2012,
WATERBANK AT DAKOTA,2012,
WATERCOLOURS,2016,
WATERCREST,1993,
WATERFALL GARDENS,2010,0.67 - FARRER ROAD
WATERFORD RESIDENCE,2010,0.57 - FORT CANNING
WATERFRONT @ FABER,2017,
WATERFRONT GOLD,2014,0.49 - BEDOK RESERVOIR
WATERFRONT ISLE,2015,
WATERFRONT KEY,2012,
WATERFRONT WAVES,2011,
WATERMARK @ ROBERTSON QUAY,2008,0.74 - FORT CANNING
WATERSCAPE AT CAVENAGH,2014,0.56 - SOMERSET
WATERTOWN,2017,
WATERVIEW,2013,
WATERWOODS,2016,1.88 - PUNGGOL
WATTEN ESTATE CONDO,1983,0.47 - TAN KAH KEE
WATTEN HILL CONDO,1977,0.61 - TAN KAH KEE
WATTEN RESIDENCES,2012,0.38 - TAN KAH KEE
WELLINGTON PARK,1985,
WEMBLY RESIDENCES,2012,
WEST BAY CONDO,1994,1.77 - CLEMENTI
WEST SHORE RESIDENCES,2014,
WESTCOVE CONDO,2000,1.9 - CLEMENTI
WESTMERE,1999,
WESTMONT,2010,
WESTSIDE 33,2007,
WESTVILLE,1997,
WESTWOOD APARTMENTS,1972,0.78 - ORCHARD
WESTWOOD PARK,1998,
WESTWOOD RESIDENCES,2018,
WHARTON VALE,2002,
WHITE HOUSE RESIDENCES,2013,
WHITE WATER,2007,1.71 - PASIR RIS
WHITEHAVEN,2017,
WHITESCAPE,2012,
WHITESHORES,2010,
WHITEVILLAS ROW,2008,
WHITLEY VILLAS,2012,
WILKIE 48,1998,0.46 - BENCOOLEN
WILKIE 80,2010,
WILKIE 87,2004,
WILKIE COURT,1992,
WILKIE REGENCY,2002,0.42 - ROCHOR
WILKIE STUDIO RESIDENCES,2011,
WILKINSON 8,2008,0.94 - DAKOTA
WINDERMERE,2000,
WINDY HEIGHTS,1978,
WING FONG COURT,1997,
WING FONG MANSIONS,1997,
WING ON LIFE GARDENS,1982,0.63 - STEVENS
WOLSKEL LODGE,1998,
WOODGROVE CONDO,1999,0.94 - MARSILING
WOODGROVE ESTATE,1998,
WOODHAVEN,2015,
WOODSVALE,2001,0.54 - ADMIRALTY
WOODSVILLE 28,2012,
WORTHINGTON,2009,
YEW MEI GREEN,2000,0.55 - YEW TEE
YEW TEE RESIDENCES,2009,
YGK GARDENS,2008,0.39 - HOLLAND VILLAGE
YI MEI GARDEN,1984,
YISHUN EMERALD,2002,1.18 - YISHUN
YISHUN SAPPHIRE,2002,
YONG AN PARK,1986,0.62 - SOMERSET
YUNNAN GARDENS,1991,
ZEDGE,2010,
ZENITH,2011,
ZEPHYR PARK,1993,
