"","name","type","rent","date"
"200","MARINA ONE","Condo","5.99","18"
"201","MARINA ONE","Condo","5.17","18"
"202","THE SCOTTS TOWER","Condo","6.7","18"
"203","THE CLAYMORE","Condo","4.48","18"
"204","ICON","Condo","5.85","18"
"205"," RESIDENCES W SINGAPORE SENTOSA...","Condo","4.22","18"
"206","DUO RESIDENCES","Condo","5.92","18"
"207","TELOK KURAU SEMI-D","NA","1.83","18"
"208","DUO RESIDENCES","Condo","6.85","18"
"209","Q BAY RESIDENCES","Condo","3.81","18"
"210","CENTRAL GROVE","Condo","2.9","18"
"211","MARINA ONE","Condo","5.17","18"
"212","THE SCOTTS TOWER","Condo","6.7","18"
"213","THE CLAYMORE","Condo","4.48","18"
"214","ICON","Condo","5.85","18"
"215"," RESIDENCES W SINGAPORE SENTOSA...","Condo","4.22","18"
"216","DUO RESIDENCES","Condo","5.92","18"
"217","TELOK KURAU SEMI-D","NA","1.83","18"
"218","DUO RESIDENCES","Condo","6.85","18"
"219","Q BAY RESIDENCES","Condo","3.81","18"
"220","CENTRAL GROVE","Condo","2.9","18"
"221","THE CREST","Condo","5.14","18"
"222","ICON","Condo","5.17","18"
"223","DUO RESIDENCES","Condo","5.42","18"
"224","DUO RESIDENCES","Condo","6.07","18"
"225","DUO RESIDENCES","Condo","5.13","18"
"226","DUO RESIDENCES","Condo","5.52","18"
"227","DUO RESIDENCES","Condo","5.1","18"
"228","DUO RESIDENCES","Condo","4.71","18"
"229","DUO RESIDENCES","Condo","5.05","18"
"230","THE SCOTTS TOWER","Condo","5.46","18"
"231","THE SCOTTS TOWER","Condo","7.19","18"
"232","ORCHARD SCOTTS","Condo","4.92","18"
"233","VIDA","Condo","5.43","18"
"234","ROBIN RESIDENCES","Condo","5.95","18"
"235","201 PEARL'S HILL TERRACE","NA","30.97","18"
"236","201 PEARL'S HILL TERRACE","NA","33.42","18"
"237","TEMPCO TECHNOMINIUM","NA","3.2","18"
"238","RIVER PLACE","Condo","3.48","18"
"239","ALBA","Condo","5.12","18"
"240","TOWNERVILLE","NA","2.22","18"
"241","THE SCOTTS TOWER","Condo","7.19","18"
"242","ORCHARD SCOTTS","Condo","4.92","18"
"243","VIDA","Condo","5.43","18"
"244","ROBIN RESIDENCES","Condo","5.95","18"
"245","201 PEARL'S HILL TERRACE","NA","30.97","18"
"246","201 PEARL'S HILL TERRACE","NA","33.42","18"
"247","TEMPCO TECHNOMINIUM","NA","3.2","18"
"248","RIVER PLACE","Condo","3.48","18"
"249","ALBA","Condo","5.12","18"
"250","TOWNERVILLE","NA","2.22","18"
"251","SCOTTS SQUARE","Condo","8.49","18"
"252","RV EDGE","Condo","7","18"
"253","ARDMORE PARK","Condo","5.37","18"
"254","NEWLY BUILD TERRACE HOUSE FOR...","NA","4","18"
"255","SKY @ ELEVEN","Condo","3.5","18"
"256","SENNETT ESTATE","NA","1.64","18"
"257","HDB @ SERANGOON NORTH ESTATE","NA","1.86","18"
"258","SENJA GREEN","NA","3.1","18"
"259","NEPTUNE COURT","Condo","2","18"
